#,apiName,apiMethod,apiPath,apiInputsFile,toBeValidated,Module,fileType,payloadJSON,expectedJSON,consentPerson,scenario,mysql
33,Validate_PostActivationValidation_Seven,NA,NA,Validate_PostActivationValidation_Seven.csv,n,Activation,json,Validate_PostActivationValidation_Seven.json,Validate_PostActivationValidation_Seven.json,Naveen,y,n
34,Validate_PostActivationValidation_Eight,NA,NA,Validate_PostActivationValidation_Eight.csv,n,Activation,json,Validate_PostActivationValidation_Eight.json,Validate_PostActivationValidation_Eight.json,Naveen,y,n
35,Validate_PostActivationValidation_Nine,NA,NA,Validate_PostActivationValidation_Nine.csv,n,Activation,json,Validate_PostActivationValidation_Nine.json,Validate_PostActivationValidation_Nine.json,Naveen,y,n
36,Validate_RCFDataMigration_Only,NA,NA,Validate_RCFDataMigration_Only.csv,n,Lifecycle,json,Validate_RCFDataMigration_Only.json,Validate_RCFDataMigration_Only.json,Naveen,y,n
37,Validate_PrePayment,NA,NA,Validate_PrePayment.csv,n,Lifecycle,json,Validate_PrePayment.json,Validate_PrePayment.json,Naveen,y,n
38,Validate_Closure,NA,NA,Validate_Closure.csv,n,Lifecycle,json,Validate_Closure.json,Validate_Closure.json,Naveen,y,n
39,Validate_TransactionUndo,NA,NA,Validate_TransactionUndo.csv,n,Lifecycle,json,Validate_TransactionUndo.json,Validate_TransactionUndo.json,Naveen,y,n
40,Validate_Disbursal,NA,NA,Validate_Disbursal.csv,n,Lifecycle,json,Validate_Disbursal.json,Validate_Disbursal.json,Naveen,y,n
41,Validate_Repayment,NA,NA,Validate_Repayment.csv,n,Lifecycle,json,Validate_Repayment.json,Validate_Repayment.json,Naveen,y,n
42,Validate_AdHocFee,NA,NA,Validate_AdHocFee.csv,n,Lifecycle,json,Validate_AdHocFee.json,Validate_AdHocFee.json,Naveen,y,n
43,Validate_PeriodicFee,NA,NA,Validate_PeriodicFee.csv,n,Lifecycle,json,Validate_PeriodicFee.json,Validate_PeriodicFee.json,Naveen,y,n
44,Validate_ClosureUndo,NA,NA,Validate_ClosureUndo.csv,n,Lifecycle,json,Validate_ClosureUndo.json,Validate_ClosureUndo.json,Naveen,y,n
45,Validate_FeeAddingCap,NA,NA,Validate_FeeAddingCap.csv,n,Lifecycle,json,Validate_FeeAddingCap.json,Validate_FeeAddingCap.json,Naveen,y,n
46,Validate_FeeAddingNonCap,NA,NA,Validate_FeeAddingNonCap.csv,n,Lifecycle,json,Validate_FeeAddingNonCap.json,Validate_FeeAddingNonCap.json,Naveen,y,n
47,Validate_Penalty_OverduePrincipal,NA,NA,Validate_Penalty_OverduePrincipal.csv,n,Lifecycle,json,Validate_Penalty_OverduePrincipal.json,Validate_Penalty_OverduePrincipal.json,Naveen,y,n
48,Validate_ReStructure_Tenor,NA,NA,Validate_ReStructure_Tenor.csv,n,Lifecycle,json,Validate_ReStructure_Tenor.json,Validate_ReStructure_Tenor.json,Naveen,y,n
49,Validate_ReStructure_InterestRate,NA,NA,Validate_ReStructure_InterestRate.csv,n,Lifecycle,json,Validate_ReStructure_InterestRate.json,Validate_ReStructure_InterestRate.json,Naveen,y,n
50,validate_RCF_PostMigrationValidation_One,NA,NA,validate_RCF_PostMigrationValidation_One.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_One.json,validate_RCF_PostMigrationValidation_One.json,Naveen,y,y
51,validate_RCF_PostMigrationValidation_Two,NA,NA,validate_RCF_PostMigrationValidation_Two.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Two.json,validate_RCF_PostMigrationValidation_Two.json,Naveen,y,y
52,validate_RCF_PostMigrationValidation_Three,NA,NA,validate_RCF_PostMigrationValidation_Three.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Three.json,validate_RCF_PostMigrationValidation_Three.json,Naveen,y,y
53,validate_RCF_PostMigrationValidation_Four,NA,NA,validate_RCF_PostMigrationValidation_Four.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Four.json,validate_RCF_PostMigrationValidation_Four.json,Naveen,y,y
54,validate_RCF_PostMigrationValidation_Five,NA,NA,validate_RCF_PostMigrationValidation_Five.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Five.json,validate_RCF_PostMigrationValidation_Five.json,Naveen,y,y
55,validate_RCF_PostMigrationValidation_Six,NA,NA,validate_RCF_PostMigrationValidation_Six.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Six.json,validate_RCF_PostMigrationValidation_Six.json,Naveen,y,y
56,validate_RCF_PostMigrationValidation_Seven,NA,NA,validate_RCF_PostMigrationValidation_Seven.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Seven.json,validate_RCF_PostMigrationValidation_Seven.json,Naveen,y,y
57,validate_RCF_PostMigrationValidation_Eight,NA,NA,validate_RCF_PostMigrationValidation_Eight.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Eight.json,validate_RCF_PostMigrationValidation_Eight.json,Naveen,y,y
58,validate_RCF_PostMigrationValidation_Nine,NA,NA,validate_RCF_PostMigrationValidation_Nine.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Nine.json,validate_RCF_PostMigrationValidation_Nine.json,Naveen,y,y
59,validate_RCF_PostMigrationValidation_Ten,NA,NA,validate_RCF_PostMigrationValidation_Ten.csv,n,Lifecycle,json,validate_RCF_PostMigrationValidation_Ten.json,validate_RCF_PostMigrationValidation_Ten.json,Naveen,y,y
60,Validate_RCF_ActivationLoan_One,NA,NA,Validate_RCF_ActivationLoan_One.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_One.json,Validate_RCF_ActivationLoan_One.json,Naveen,y,n
